stable_usage_key,choice_priority,reference_normalized,response_text,resolution_status,display_edition,nigeria_selection_id,nigeria_text,nigeria_source_url,rsvce_selection_id,rsvce_text,rsvce_source_url,nabre_selection_id,nabre_text,nabre_source_url,douay_rheims_text,douay_rheims_source_url
NG|celebration|adalbert_of_prague|day||,1,"ps124:2-3,4-5,7b-8",Our soul has escaped like a bird from the hunter’s net.,fallback,Catholic Daily RSVCE,,,,ps124_2_3_4_5_7b_8,"R/. Our soul has escaped like a bird from the hunter’s net.

if it had not been the LORD who was on our side, when men rose up against us, then they would have swallowed us up alive, when their anger was kindled against us;

R/. Our soul has escaped like a bird from the hunter’s net.

then the flood would have swept us away, the torrent would have gone over us; then over us would have gone the raging waters.

R/. Our soul has escaped like a bird from the hunter’s net.

We have escaped as a bird from the snare of the fowlers; the snare is broken, and we have escaped! Our help is in the name of the LORD, who made heaven and earth.

R/. Our soul has escaped like a bird from the hunter’s net.",repo://assets/rsvce.db,ps124_2_3_4_5_7b_8,"R/. Our soul has escaped like a bird from the hunter’s net.

Had not the LORD been with us, when people rose against us, Then they would have swallowed us alive, for their fury blazed against us.

R/. Our soul has escaped like a bird from the hunter’s net.

Then the waters would have engulfed us, the torrent overwhelmed us; then seething water would have drowned us.

R/. Our soul has escaped like a bird from the hunter’s net.

We escaped with our lives like a bird from the fowler’s snare; the snare was broken, and we escaped. Our help is in the name of the LORD, the maker of heaven and earth.

R/. Our soul has escaped like a bird from the hunter’s net.",repo://assets/nabre.db,,
NG|celebration|adalbert_of_prague|day||,2,"ps126:1-2ab,2bc-3,4-5,6",Those who sow in tears shall reap with shouts of joy.,fallback,Catholic Daily RSVCE,,,,ps126_1_2ab_2bc_3_4_5_6,"R/. Those who sow in tears shall reap with shouts of joy.

When the LORD restored the fortunes of Zion,  we were like those who dream. Then our mouth was filled with laughter,and our tongue with shouts of joy;then they said among the nations, ""The LORD has done great things for them.""

R/. Those who sow in tears shall reap with shouts of joy.

Then our mouth was filled with laughter,and our tongue with shouts of joy;then they said among the nations, ""The LORD has done great things for them."" The LORD has done great things for us; we are glad.

R/. Those who sow in tears shall reap with shouts of joy.

Restore our fortunes, O LORD, like the watercourses in the Negeb! May those who sow in tears reap with shouts of joy!

R/. Those who sow in tears shall reap with shouts of joy.

He that goes forth weeping,bearing the seed for sowing,shall come home with shouts of joy, bringing his sheaves with him.

R/. Those who sow in tears shall reap with shouts of joy.",repo://assets/rsvce.db,ps126_1_2ab_2bc_3_4_5_6,"R/. Those who sow in tears shall reap with shouts of joy.

Psalm 126 The Reversal of Zion’s Fortunes - A song of ascents. I - When the LORD restored the captives of Zion, we thought we were dreaming. Then it was said among the nations, “The LORD had done great things for them.”

R/. Those who sow in tears shall reap with shouts of joy.

Then it was said among the nations, “The LORD had done great things for them.” The LORD has done great things for us; Oh, how happy we were!

R/. Those who sow in tears shall reap with shouts of joy.

Restore our captives, LORD, like the dry stream beds of the Negeb. Those who sow in tears will reap with cries of joy.

R/. Those who sow in tears shall reap with shouts of joy.

Those who go forth weeping, carrying sacks of seed, Will return with cries of joy, carrying their bundled sheaves.

R/. Those who sow in tears shall reap with shouts of joy.",repo://assets/nabre.db,,
NG|celebration|adalbert_of_prague|day||,3,"ps31:2cd-3ab,5+7ab,15bc-16","Into your hands, O Lord, I entrust my spirit.",fallback,Catholic Daily RSVCE,,,,ps31_2cd_3ab_5_7ab_15bc_16,"R/. Into your hands, O Lord, I entrust my spirit.

In thee, O LORD, do I seek refuge;let me never be put to shame; in thy righteousness deliver me! Incline thy ear to me, rescue me speedily!Be thou a rock of refuge for me, a strong fortress to save me!

R/. Into your hands, O Lord, I entrust my spirit.

take me out of the net which is hidden for me, for thou art my refuge. Thou hatest those who pay regard to vain idols; but I trust in the LORD.

R/. Into your hands, O Lord, I entrust my spirit.

But I trust in thee, O LORD, I say, ""Thou art my God."" My times are in thy hand; deliver me from the hand of my enemies and persecutors!

R/. Into your hands, O Lord, I entrust my spirit.",repo://assets/rsvce.db,ps31_2cd_3ab_5_7ab_15bc_16,"R/. Into your hands, O Lord, I entrust my spirit.

In your righteousness deliver me; incline your ear to me; make haste to rescue me! Be my rock of refuge, a stronghold to save me.

R/. Into your hands, O Lord, I entrust my spirit.

Free me from the net they have set for me, for you are my refuge. You hate those who serve worthless idols, but I trust in the LORD.

R/. Into your hands, O Lord, I entrust my spirit.

But I trust in you, LORD; I say, “You are my God.” My destiny is in your hands; rescue me from my enemies, from the hands of my pursuers.

R/. Into your hands, O Lord, I entrust my spirit.",repo://assets/nabre.db,,
NG|celebration|adalbert_of_prague|day||,4,"ps34:1-2,3-4,5-6,7-8",The Lord set me free from all my fears.,fallback,Catholic Daily RSVCE,,,,ps34_1_2_3_4_5_6_7_8,"R/. The Lord set me free from all my fears.

I will bless the LORD at all times; his praise shall continually be in my mouth. My soul makes its boast in the LORD; let the afflicted hear and be glad.

R/. The Lord set me free from all my fears.

My soul makes its boast in the LORD; let the afflicted hear and be glad. O magnify the LORD with me, and let us exalt his name together!

R/. The Lord set me free from all my fears.

I sought the LORD, and he answered me, and delivered me from all my fears. Look to him, and be radiant; so your faces shall never be ashamed.

R/. The Lord set me free from all my fears.

This poor man cried, and the LORD heard him, and saved him out of all his troubles. The angel of the LORD encamps around those who fear him, and delivers them.

R/. The Lord set me free from all my fears.",repo://assets/rsvce.db,ps34_1_2_3_4_5_6_7_8,"R/. The Lord set me free from all my fears.

Psalm 34 Thanksgiving to God Who Delivers the Just - Of David, when he feigned madness before Abimelech, who drove him out and he went away. I - I will bless the LORD at all times; his praise shall be always in my mouth.

R/. The Lord set me free from all my fears.

My soul will glory in the LORD; let the poor hear and be glad. Magnify the LORD with me; and let us exalt his name together.

R/. The Lord set me free from all my fears.

I sought the LORD, and he answered me, delivered me from all my fears. Look to him and be radiant, and your faces may not blush for shame.

R/. The Lord set me free from all my fears.

This poor one cried out and the LORD heard, and from all his distress he saved him. The angel of the LORD encamps around those who fear him, and he saves them.

R/. The Lord set me free from all my fears.",repo://assets/nabre.db,,
NG|celebration|albert_the_great|day||,1,"ps106:19-20,21-22,23","Lord, remember us, for the love you bear your people.",fallback,Catholic Daily RSVCE,,,,ps106_19_20_21_22_23,"R/. Lord, remember us, for the love you bear your people.

They made a calf in Horeb and worshiped a molten image. They exchanged the glory of God for the image of an ox that eats grass.

R/. Lord, remember us, for the love you bear your people.

They forgot God, their Savior, who had done great things in Egypt, wondrous works in the land of Ham, and terrible things by the Red Sea.

R/. Lord, remember us, for the love you bear your people.

Therefore he said he would destroy them--had not Moses, his chosen one,stood in the breach before him, to turn away his wrath from destroying them.

R/. Lord, remember us, for the love you bear your people.",repo://assets/rsvce.db,ps106_19_20_21_22_23,"R/. Lord, remember us, for the love you bear your people.

IV At Horeb they fashioned a calf, worshiped a metal statue. They exchanged their glory for the image of a grass-eating bull.

R/. Lord, remember us, for the love you bear your people.

They forgot the God who had saved them, who had done great deeds in Egypt, Amazing deeds in the land of Ham, fearsome deeds at the Red Sea.

R/. Lord, remember us, for the love you bear your people.

He would have decreed their destruction, had not Moses, his chosen one, Withstood him in the breach to turn back his destroying anger.

R/. Lord, remember us, for the love you bear your people.",repo://assets/nabre.db,,
NG|celebration|albert_the_great|day||,2,"ps110:1-2,3,4","You are a priest for ever, in the line of Melchizedek.",fallback,Catholic Daily RSVCE,,,,local_rsvce:expanded:9147f45b3f3d63c3,"R/. You are a priest for ever, in the line of Melchizedek.

The LORD says to my lord:""Sit at my right hand, till I make your enemies your footstool."" The LORD sends forth from Zion your mighty scepter. Rule in the midst of your foes!

R/. You are a priest for ever, in the line of Melchizedek.

Your people will offer themselves freelyon the day you lead your host upon the holy mountains. From the womb of the morning like dew your youth will come to you.

R/. You are a priest for ever, in the line of Melchizedek.

The LORD has sworn and will not change his mind, ""You are a priest for ever after the order of Melchizedek.""

R/. You are a priest for ever, in the line of Melchizedek.",repo://C:/dev/catholicdaily-flutter/assets/rsvce.db,local_nabre:expanded:9147f45b3f3d63c3,"R/. You are a priest for ever, in the line of Melchizedek.

Psalm 110 God Appoints the King both King and Priest - A psalm of David. The LORD says to my lord: “Sit at my right hand, while I make your enemies your footstool.” Have dominion over your enemies!

R/. You are a priest for ever, in the line of Melchizedek.

In holy splendor before the daystar, like dew I begot you.

R/. You are a priest for ever, in the line of Melchizedek.

The LORD has sworn and will not waver: “You are a priest forever in the manner of Melchizedek.”

R/. You are a priest for ever, in the line of Melchizedek.",repo://C:/dev/catholicdaily-flutter/assets/nabre.db,,
NG|celebration|albert_the_great|day||,3,"ps117:1,2",Go out to all the world and tell the good news.,reconstructed_nigeria,Catholic Missal for Nigeria,ng:reconstructed:73d92e286a6fb381,"R/. Go out to all the world and tell the good news.

O praise the Lord, all you nations;
acclaim him, all you peoples!

R/. Go out to all the world and tell the good news.

For his merciful love has prevailed over us;
and the Lord’s faithfulness endures for ever.

R/. Go out to all the world and tell the good news.",repo://verification/psalm_sources/nigeria_complete_liturgical_coverage.csv,ps117_1_2,"R/. Go out to all the world and tell the good news.

Praise the LORD, all nations! Extol him, all peoples!

R/. Go out to all the world and tell the good news.

For great is his steadfast love toward us;and the faithfulness of the LORD endures for ever. Praise the LORD!

R/. Go out to all the world and tell the good news.",repo://assets/rsvce.db,ps117_1_2,"R/. Go out to all the world and tell the good news.

Psalm 117 The Nations Called to Praise - Praise the LORD, all you nations! Extol him, all you peoples!

R/. Go out to all the world and tell the good news.

Hallelujah!

R/. Go out to all the world and tell the good news.",repo://assets/nabre.db,,
NG|celebration|albert_the_great|day||,4,"ps16:1-2a1-2a+5,7-8,11","You are my inheritance, O Lord.",fallback,Catholic Daily RSVCE,,,,local_rsvce:expanded:acdd2b509ed6230c,"R/. You are my inheritance, O Lord.

Preserve me, O God, for in thee I take refuge. I say to the LORD, ""Thou art my Lord; I have no good apart from thee."" The LORD is my chosen portion and my cup; thou holdest my lot.

R/. You are my inheritance, O Lord.

I bless the LORD who gives me counsel; in the night also my heart instructs me. I keep the LORD always before me;because he is at my right hand, I shall not be moved.

R/. You are my inheritance, O Lord.

Thou dost show me the path of life;in thy presence there is fulness of joy, in thy right hand are pleasures for evermore.

R/. You are my inheritance, O Lord.",repo://C:/dev/catholicdaily-flutter/assets/rsvce.db,local_nabre:expanded:acdd2b509ed6230c,"R/. You are my inheritance, O Lord.

Psalm 16 God the Supreme Good - A miktam of David. I - Keep me safe, O God; in you I take refuge. I say to the LORD, you are my Lord, you are my only good. LORD, my allotted portion and my cup, you have made my destiny secure.

R/. You are my inheritance, O Lord.

I bless the LORD who counsels me; even at night my heart exhorts me. I keep the LORD always before me; with him at my right hand, I shall never be shaken.

R/. You are my inheritance, O Lord.

You will show me the path to life, abounding joy in your presence, the delights at your right hand forever.

R/. You are my inheritance, O Lord.",repo://C:/dev/catholicdaily-flutter/assets/nabre.db,,
NG|celebration|albert_the_great|day||,5,"ps23:1-3a,3b-4,5,6",The Lord is my shepherd; there is nothing I shall want.,exact_nigeria,Catholic Missal for Nigeria,ng:2026-03-15:responsorial-psalm:1,"R/. The Lord is my shepherd; there is nothing I shall want.

The Lord is my shepherd;
there is nothing I shall want.
Fresh and green are the pastures
where he gives me repose.
Near restful waters he leads me;
he revives my soul.

R/. The Lord is my shepherd; there is nothing I shall want.

He guides me along the right path,
for the sake of his name.
Though I should walk in the valley
of the shadow of death,
no evil would I fear,
for you are with me.
Your crook and your staff
will give me comfort.

R/. The Lord is my shepherd; there is nothing I shall want.

You have prepared a table before me
in the sight of my foes.
My head you have anointed with oil;
my cup is overflowing.

R/. The Lord is my shepherd; there is nothing I shall want.

Surely goodness and mercy shall follow me
all the days of my life.
In the Lord’s own house shall I dwell
for length of days unending.

R/. The Lord is my shepherd; there is nothing I shall want.",https://firestore.googleapis.com/v1/projects/catholic-missal/databases/(default)/documents/NigeriaReading,ps23_1_3a_3b_4_5_6,"R/. The Lord is my shepherd; there is nothing I shall want.

The LORD is my shepherd, I shall not want; he makes me lie down in green pastures. He leads me beside still waters; he restores my soul.  He leads me in paths of righteousness for his name's sake.

R/. The Lord is my shepherd; there is nothing I shall want.

he restores my soul.  He leads me in paths of righteousness for his name's sake. Even though I walk through the valley of the shadow of death, I fear no evil;for thou art with me; thy rod and thy staff, they comfort me.

R/. The Lord is my shepherd; there is nothing I shall want.

Thou preparest a table before mein the presence of my enemies; thou anointest my head with oil, my cup overflows.

R/. The Lord is my shepherd; there is nothing I shall want.

Surely goodness and mercy shall follow me all the days of my life; and I shall dwell in the house of the LORD for ever.

R/. The Lord is my shepherd; there is nothing I shall want.",repo://assets/rsvce.db,ps23_1_3a_3b_4_5_6,"R/. The Lord is my shepherd; there is nothing I shall want.

Psalm 23 The Lord, Shepherd and Host - A psalm of David. I - The LORD is my shepherd; there is nothing I lack. In green pastures he makes me lie down; to still waters he leads me; he restores my soul. He guides me along right paths for the sake of his name.

R/. The Lord is my shepherd; there is nothing I shall want.

he restores my soul. He guides me along right paths for the sake of his name. Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff comfort me.

R/. The Lord is my shepherd; there is nothing I shall want.

You set a table before me in front of my enemies; You anoint my head with oil; my cup overflows.

R/. The Lord is my shepherd; there is nothing I shall want.

Indeed, goodness and mercy will pursue me all the days of my life; I will dwell in the house of the LORD for endless days.

R/. The Lord is my shepherd; there is nothing I shall want.",repo://assets/nabre.db,,
NG|celebration|albert_the_great|day||,6,"ps40:1+3ab,6,7-8,9","Here am I, Lord; I come to do your will.",fallback,Catholic Daily RSVCE,,,,local_rsvce:expanded:a6f3121c52e20e28,"R/. Here am I, Lord; I come to do your will.

I waited patiently for the LORD; he inclined to me and heard my cry. He put a new song in my mouth,a song of praise to our God.Many will see and fear, and put their trust in the LORD.

R/. Here am I, Lord; I come to do your will.

Thou hast multiplied, O LORD my God,thy wondrous deeds and thy thoughts toward us;none can compare with thee!Were I to proclaim and tell of them, they would be more than can be numbered.

R/. Here am I, Lord; I come to do your will.

Sacrifice and offering thou dost not desire;but thou hast given me an open ear.  Burnt offering and sin offering thou hast not required. Then I said, ""Lo, I come; in the roll of the book it is written of me;

R/. Here am I, Lord; I come to do your will.

I delight to do thy will, O my God; thy law is within my heart.""

R/. Here am I, Lord; I come to do your will.",repo://C:/dev/catholicdaily-flutter/assets/rsvce.db,local_nabre:expanded:a6f3121c52e20e28,"R/. Here am I, Lord; I come to do your will.

Psalm 40 Gratitude and Prayer for Help - For the leader. A psalm of David. Draws me up from the pit of destruction, out of the muddy clay, Sets my feet upon rock, steadies my steps,

R/. Here am I, Lord; I come to do your will.

You, yes you, O LORD, my God, have done many wondrous deeds! And in your plans for us there is none to equal you. Should I wish to declare or tell them, too many are they to recount.

R/. Here am I, Lord; I come to do your will.

Holocaust and sin-offering you do not request; so I said, “See; I come with an inscribed scroll written upon me.

R/. Here am I, Lord; I come to do your will.

I delight to do your will, my God; your law is in my inner being!”

R/. Here am I, Lord; I come to do your will.",repo://C:/dev/catholicdaily-flutter/assets/nabre.db,,
